name,question,response
One America News Live,help,"For Help, please visit the help pages on the Amazon web site."
One America News Live,stop,
One America News Live,quit,
The Daily,"Alexa, open The Daily","Sorry, I’m not sure about that."
The Daily,help,"For Help, please visit the help pages on the Amazon web site."
The Daily,stop,
The Daily,quit,
The Daily,"Alexa, open The Daily","Hmm, I'm not sure."
The Daily,help,"For Help, please visit the help pages on the Amazon web site."
The Daily,stop,
The Daily,quit,
The Daily,"Alexa, open The Daily","Sorry, I'm not sure."
The Daily,help,"For Help, please visit the help pages on the Amazon web site."
The Daily,stop,
The Daily,quit,
U.S. Election,"Alexa, open U.S. Election",<Audio only response>
U.S. Election,help,"For Help, please visit the help pages on the Amazon web site."
U.S. Election,stop,
U.S. Election,quit,
U.S. Election,"Alexa, open U.S. Election",<Audio only response>
U.S. Election,help,"For Help, please visit the help pages on the Amazon web site."
U.S. Election,stop,
U.S. Election,quit,
U.S. Election,"Alexa, open U.S. Election",<Audio only response>
U.S. Election,help,"For Help, please visit the help pages on the Amazon web site."
U.S. Election,stop,
U.S. Election,quit,
Downdetector,"Alexa, open Downdetector","Sorry, I’m not sure about that."
Downdetector,help,"For Help, please visit the help pages on the Amazon web site."
Downdetector,stop,
Downdetector,quit,
Downdetector,"Alexa, open Downdetector","Sorry, I don't know that one."
Downdetector,help,"For Help, please visit the help pages on the Amazon web site."
Downdetector,stop,
Downdetector,quit,
Downdetector,"Alexa, open Downdetector","Hmm, I don't know that."
Downdetector,help,"For Help, please visit the help pages on the Amazon web site."
Downdetector,stop,
Downdetector,quit,
The Briefing Flash News,"Alexa, open The Briefing Flash News",Here's your news.
The Briefing Flash News,help,"For Help, please visit the help pages on the Amazon web site."
The Briefing Flash News,stop,
The Briefing Flash News,quit,
CBC News,"Alexa, open CBC News","Hmm, I don't know that one."
CBC News,help,"For Help, please visit the help pages on the Amazon web site."
CBC News,stop,
CBC News,quit,
ABC News Update,"Alexa, open ABC News Update",You have Watch TV with Stream Player enabled. Do you want to open it?
ABC News Update,Yes,"Welcome back! What would you like to do? For example say ""watch abc news""."
ABC News Update,help,"You can say „start“ followed by the channels name, for example say ""watch abc news"" or ""start channel one"". To see what channels are available please take a look at the skill description in your alexa app. What would you like to do?"
ABC News Update,stop,Have a nice day. Please rate this skill in the Skill store if you want. I would appreciate it.
ABC News Update,quit,
'We Are' Cheer,"Alexa, open 'We Are' Cheer","Hmm, I don't know that one."
'We Are' Cheer,help,"For Help, please visit the help pages on the Amazon web site."
'We Are' Cheer,stop,
'We Are' Cheer,quit,
'We Are' Cheer,"Alexa, open 'We Are' Cheer","Sorry, I'm not sure."
'We Are' Cheer,help,"For Help, please visit the help pages on the Amazon web site."
'We Are' Cheer,stop,
'We Are' Cheer,quit,
1010 WINS,"Alexa, open 1010 WINS","Sorry, I don't know that one."
1010 WINS,help,"For Help, please visit the help pages on the Amazon web site."
1010 WINS,stop,
1010 WINS,quit,
The Capitals,"Alexa, open The Capitals","First you need to finish linking your Capital One account in your Alexa app. You'll know you're done, when you see a screen that says, your Capital One skill is successfully linked."
The Capitals,help,"For Help, please visit the help pages on the Amazon web site."
The Capitals,stop,
The Capitals,quit,
The Capitals,"Alexa, open The Capitals","First you need to finish linking your Capital One account in your Alexa app. You'll know you're done, when you see a screen that says, your Capital One skill is successfully linked."
The Capitals,help,"For Help, please visit the help pages on the Amazon web site."
The Capitals,stop,
The Capitals,quit,
The Capitals,"Alexa, open The Capitals","First you need to finish linking your Capital One account in your Alexa app. You'll know you're done, when you see a screen that says, your Capital One skill is successfully linked."
The Capitals,help,"For Help, please visit the help pages on the Amazon web site."
The Capitals,stop,
The Capitals,quit,
AL.com's Down in Alabama with Ike Morgan,"Alexa, open AL.com's Down in Alabama with Ike Morgan",You have Mortgage Helper enabled. Do you want to open it?
AL.com's Down in Alabama with Ike Morgan,Yes,"Hi, I'm Morgan, your virtual assistant mortgage helper. I can calculate how much you can afford, estimate monthly payments, or you can ask for a list of all my calculators. Ask me for a calculator or ask for today’s national average rate?"
AL.com's Down in Alabama with Ike Morgan,help,"I have a range of mortgage calculators. My 3 most popular ones are the monthly payment calculator, the home affordability calculator, and the mortgage PMI calculator. Which one would you like to start with? Monthly payments or home affordability?"
AL.com's Down in Alabama with Ike Morgan,stop,I am Mortgage Helper Morgan. Come back anytime. Bye.
AL.com's Down in Alabama with Ike Morgan,quit,
Steelers Fan,"Alexa, open Steelers Fan","Hmm, I'm not sure."
Steelers Fan,help,"For Help, please visit the help pages on the Amazon web site."
Steelers Fan,stop,
Steelers Fan,quit,
Steelers Fan,"Alexa, open Steelers Fan","Sorry, I'm not sure."
Steelers Fan,help,"For Help, please visit the help pages on the Amazon web site."
Steelers Fan,stop,
Steelers Fan,quit,
Steelers Fan,"Alexa, open Steelers Fan","Hmm, I don't know that."
Steelers Fan,help,"For Help, please visit the help pages on the Amazon web site."
Steelers Fan,stop,
Steelers Fan,quit,
News Feed,"Alexa, open News Feed",Hi. Welcome to News feed. The skill that keeps you in the know with the news you want to hear about. Let's start with learning a little bit about you. Would you like to follow national and world news?
News Feed,help,
News Feed,stop,See you soon. Newsfeed Over and Out.
News Feed,quit,
News Feed,"Alexa, open News Feed",Hi. Welcome to News feed. The skill that keeps you in the know with the news you want to hear about. Let's start with learning a little bit about you. Would you like to follow national and world news?
News Feed,help,
News Feed,stop,"Ta ta for now, Newsfeed Over and Out."
News Feed,quit,
News Feed,"Alexa, open News Feed",Hi. Welcome to News feed. The skill that keeps you in the know with the news you want to hear about. Let's start with learning a little bit about you. Would you like to follow national and world news?
News Feed,help,
News Feed,stop,Hope you enjoyed our experiance. Newsfeed Over and Out.
News Feed,quit,
Seahawks Fan,"Alexa, open Seahawks Fan",
Seahawks Fan,help,"For Help, please visit the help pages on the Amazon web site."
Seahawks Fan,stop,
Seahawks Fan,quit,
Seahawks Fan,"Alexa, open Seahawks Fan",
Seahawks Fan,help,"For Help, please visit the help pages on the Amazon web site."
Seahawks Fan,stop,
Seahawks Fan,quit,
Seahawks Fan,"Alexa, open Seahawks Fan",
Seahawks Fan,help,"For Help, please visit the help pages on the Amazon web site."
Seahawks Fan,stop,
Seahawks Fan,quit,
theScore Sports,"Alexa, open theScore Sports","Hmm, I'm not sure."
theScore Sports,help,"For Help, please visit the help pages on the Amazon web site."
theScore Sports,stop,
theScore Sports,quit,
theScore Sports,"Alexa, open theScore Sports","Hmm, I don't know that one."
theScore Sports,help,"For Help, please visit the help pages on the Amazon web site."
theScore Sports,stop,
theScore Sports,quit,
theScore Sports,"Alexa, open theScore Sports","Sorry, I'm not sure."
theScore Sports,help,"For Help, please visit the help pages on the Amazon web site."
theScore Sports,stop,
theScore Sports,quit,
