name,question,response
Ship.com Automatic Package Tracker,"Alexa, open Ship.com Automatic Package Tracker","Welcome to the Ship.com Beta! I’ve sent you instructions to your Alexa app. To get started, you’ll have to login, or create a Ship.com account using the Alexa app."
Ship.com Automatic Package Tracker,help,"For Help, please visit the help pages on the Amazon web site."
Ship.com Automatic Package Tracker,stop,
Ship.com Automatic Package Tracker,quit,
Simon,"Alexa, open Simon","Sorry, I’m not sure about that."
Simon,help,"For Help, please visit the help pages on the Amazon web site."
Simon,stop,
Simon,quit,
Simon,"Alexa, open Simon","Sorry, I'm not sure."
Simon,help,"For Help, please visit the help pages on the Amazon web site."
Simon,stop,
Simon,quit,
Simon,"Alexa, open Simon","Sorry, I'm not sure."
Simon,help,"For Help, please visit the help pages on the Amazon web site."
Simon,stop,
Simon,quit,
grocery,"Alexa, open grocery","Sorry, I'm not sure."
grocery,help,"For Help, please visit the help pages on the Amazon web site."
grocery,stop,
grocery,quit,
grocery,"Alexa, open grocery","Hmm, I'm not sure."
grocery,help,"For Help, please visit the help pages on the Amazon web site."
grocery,stop,
grocery,quit,
grocery,"Alexa, open grocery","Sorry, I don't know that."
grocery,help,"For Help, please visit the help pages on the Amazon web site."
grocery,stop,
grocery,quit,
