name,question,response
Mail Reader,stop,
Mail Reader,quit,
Encircle Together,"Alexa, open Encircle Together",<Audio only response>
Encircle Together,help,"For Help, please visit the help pages on the Amazon web site."
Encircle Together,stop,
Encircle Together,quit,
Juke Box,"Alexa, open Juke Box",You have Stock Prices by Opening Bell enabled. Do you want to open it?
Juke Box,Yes,What stock price would you like me to look up?
Juke Box,help,"I can tell you the stock price of any publicly traded company such as Apple, Tesla, Microsoft, and many more. Which would you like?"
Juke Box,stop,O.K.
Juke Box,quit,
Meetup,"Alexa, open Meetup",You have Stock Prices by Opening Bell enabled. Do you want to open it?
Meetup,Yes,What stock price would you like me to look up?
Meetup,help,"I can tell you the stock price of any publicly traded company such as Apple, Tesla, Microsoft, and many more. Which would you like?"
Meetup,stop,O.K.
Meetup,quit,
