name,question,response
Stupid Deal,"""Alexa, ask Woot for the daily deal.""",Today's WOOT deal is NETGEAR Orbi Home Mesh WiFi System for $179.99 (44% off List Price). Cover your home in the mesh of a security net. And yea ye shall catch the errant miscreant with the net like the sea sailors of old snaggin evil gilled fish from the depths that would gladly feat on their eyes. And like those nets this mesh is made from strong fibers... only it's fiber optics and... uh... Jeez I really backed myself into a corner with this seafaring metaphor didn't I?
Stupid Deal,quit,
Stupid Deal,quit,
Stupid Deal,"""Alexa, what's my Flash Briefing?""",Here's your news.
Stupid Deal,quit,
Stupid Deal,quit,
publix chicken tender subs,"""Alexa chicken tender pub sub""","Sorry, I don't know that."
publix chicken tender subs,quit,
publix chicken tender subs,"""Alexa ask chicken tender pub sub if they're on sale""","Sorry, I'm not sure."
publix chicken tender subs,quit,
publix chicken tender subs,quit,
publix chicken tender subs,"""Alexa, tell pub sub of the week""","Sorry, I don't know that."
publix chicken tender subs,quit,
publix chicken tender subs,quit,
My Deal,"""Alexa, Open My Deal""",<Audio only response>
My Deal,quit,
My Deal,"""Alexa, Ask My Deal For The deals of iPhone""",<Audio only response>
My Deal,quit,
My Deal,quit,
My Deal,"""Alexa, Ask My Deal To Tell me the deals for women's outerwear""",
My Deal,quit,
My Deal,quit,
B&H Photo Deal Zone,"""Alexa, ask b. h. photo video, what is today's deal?""",This feature is only available for Prime members.
B&H Photo Deal Zone,quit,
B&H Photo Deal Zone,"""Alexa, ask b. h. photo video to give me today's deal.""","Hmm, I'm not sure."
B&H Photo Deal Zone,quit,
B&H Photo Deal Zone,quit,
B&H Photo Deal Zone,"""Alexa, ask b.h. photo video for today's dealzone item.""",You have OurGroceries enabled. Do you want to open it?
B&H Photo Deal Zone,Yes,"Welcome to Our Groceries, you can say, add milk to Shopping List."
B&H Photo Deal Zone,"""Alexa, ask b.h. photo video for today's dealzone item.""","Welcome to Our Groceries, you can say, add milk to Shopping List."
B&H Photo Deal Zone,quit,
B&H Photo Deal Zone,quit,
Ship.com Automatic Package Tracker,"""Alexa, ask Ship.com where my stuff is""",I didn't find any open orders for Yichen
Ship.com Automatic Package Tracker,quit,
Ship.com Automatic Package Tracker,"""Alexa, ask Ship.com when my next package will arrive""",
Ship.com Automatic Package Tracker,quit,
Ship.com Automatic Package Tracker,quit,
Ship.com Automatic Package Tracker,"""Alexa, ask Ship.com when my last package arrived""",You have Ship.com — Automatic Package Tracker enabled. Do you want to open it?
Ship.com Automatic Package Tracker,Yes,
Ship.com Automatic Package Tracker,"""Alexa, ask Ship.com when my last package arrived""",You have Ship.com — Automatic Package Tracker enabled. Do you want to open it?
Ship.com Automatic Package Tracker,quit,
